(' ', 0, 0,  263)
('e', 0, 0, 169)
('n', 0, 0, 115)
('s', 0, 0, 102)
('a', 0, 0, 92)
('t', 0, 0, 82)
('r', 0, 0, 81)
('d', 0, 0, 69)
('i', 0, 0, 57)
('h', 0, 0, 45)
('u', 0, 0, 39)
('o', 0, 0, 38)
('m', 0, 0, 37)
('l', 0, 0, 35)
('c', 0, 0, 33)
('g', 0, 0, 27)
('w', 0, 0, 25)
('G', 0, 0, 23)
('b', 0, 0, 22)
('.', 0, 0, 20)
(',', 0, 0, 16)
('L', 0, 0, 10)
('v', 0, 0, 10)
('E', 0, 0, 8)
('W', 0, 0, 8)
(':', 0, 0, 8)
('T', 0, 0, 8)
('D', 0, 0, 8)
('S', 0, 0, 8)
('A', 0, 0, 7)
('ü', 0, 0, 7)
('ö', 0, 0, 7)
('f', 0, 0, 6)
('F', 0, 0, 6)
('z', 0, 0, 6)
('H', 0, 0, 5)
('p', 0, 0, 5)
('M', 0, 0, 4)
('B', 0, 0, 3)
(';', 0, 0, 2)
('U', 0, 0, 2)
('N', 0, 0, 2)
('k', 0, 0, 2)
('j', 0, 0, 2)
('P', 0, 0, 2)
('ä', 0, 0, 2)
('I', 0, 0, 1)
('O', 0, 0, 1)
('Z', 0, 0, 1)
('J', 0, 0, 1)
